Smiles,pIC50_calc,Molecule ChEMBL ID,Molecule Name,MW,LogP,HBD,HBA,QED
C=C(C)C(=O)N1CCc2ccc(-c3ncnc4[nH]cc(C(=O)OCC)c34)cc21,5.825068406471558,CHEMBL3651001,,376.4160000000002,3.2668000000000017,1.0,5.0,0.5576659315453798
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OC)c23)ccc1F,5.825068406471558,CHEMBL3651034,,354.34100000000007,3.065200000000001,2.0,5.0,0.5543136509685932
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c[nH]c1=O,5.825068406471558,CHEMBL3651012,,367.3650000000001,2.0045,3.0,6.0,0.4670525768601901
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)cc(OC)n1,5.825068406471558,CHEMBL3650987,,381.39200000000017,2.7198,2.0,7.0,0.4975364885457526
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C,5.825068406471558,CHEMBL3650992,,364.40500000000014,3.624620000000002,2.0,5.0,0.5322241738308275
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C#N,5.825068406471558,CHEMBL3651006,,375.38800000000015,3.1878800000000016,2.0,6.0,0.5217457894615689
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C(=O)N(C)C,5.825068406471558,CHEMBL3651007,,421.4570000000002,3.0180000000000016,2.0,6.0,0.4666828780181669
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1CN(C)C,5.825068406471558,CHEMBL3651009,,407.4740000000002,3.3778000000000024,2.0,6.0,0.4600346166536667
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1CO,5.825068406471558,CHEMBL3651004,,380.40400000000017,2.8085000000000018,3.0,6.0,0.4471019529693384
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1Cl,5.825068406471558,CHEMBL3650991,,384.8230000000001,3.9696000000000025,2.0,5.0,0.5120915890535893
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1F,5.825068406471558,CHEMBL3650996,,368.3680000000001,3.455300000000002,2.0,5.0,0.5309767443767478
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1O,5.825068406471558,CHEMBL3651010,,366.3770000000001,3.021800000000001,3.0,6.0,0.3629248934217295
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1OC,5.825068406471558,CHEMBL3650997,,380.40400000000017,3.324800000000001,2.0,6.0,0.5018376160828065
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1S(C)(=O)=O,5.825068406471558,CHEMBL3651008,,428.4700000000002,2.7197000000000005,2.0,7.0,0.4557211402760536
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccn1,5.825068406471558,CHEMBL3651014,,351.3660000000001,2.7112000000000007,2.0,6.0,0.5401123688175165
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)cn(C)c1=O,5.825068406471558,CHEMBL3651013,,381.39200000000017,2.0149,2.0,7.0,0.5154201216828929
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)cnc1OC,5.825068406471558,CHEMBL3651011,,381.39200000000017,2.7198,2.0,7.0,0.4975364885457526
C=C(C)C(=O)Nc1cc(C#N)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651003,,375.3880000000002,3.1878800000000007,2.0,6.0,0.5217457894615688
C=C(C)C(=O)Nc1cc(C)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651005,,364.4050000000002,3.624620000000002,2.0,5.0,0.5322241738308274
C=C(C)C(=O)Nc1cc(F)cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3650999,,368.36800000000017,3.455300000000001,2.0,5.0,0.5309767443767478
C=C(C)C(=O)Nc1ccc(F)c(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3650998,,368.36800000000017,3.455300000000001,2.0,5.0,0.5309767443767478
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccc(F)cc4)c23)c1,5.825068406471558,CHEMBL3651046,,372.4030000000001,4.945600000000002,2.0,3.0,0.4982735786294266
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccc(F)c4)c23)c1,5.825068406471558,CHEMBL3651044,,372.4030000000001,4.945600000000002,2.0,3.0,0.4982735786294266
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ccccc4F)c23)c1,5.825068406471558,CHEMBL3651045,,372.4030000000001,4.945600000000002,2.0,3.0,0.4982735786294266
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cccnc4)c23)c1,5.825068406471558,CHEMBL3651052,,355.40100000000007,4.201500000000002,2.0,4.0,0.5374330671567532
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc(C)s4)c23)c1,5.825068406471558,CHEMBL3651054,,375.4570000000001,4.5714200000000025,2.0,5.0,0.5118168076148744
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnc[nH]4)c23)c1,5.825068406471558,CHEMBL3651051,,344.37800000000004,3.5296000000000003,3.0,4.0,0.4931324192333082
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cnco4)c23)c1,5.825068406471558,CHEMBL3651065,,345.3620000000001,3.794500000000001,2.0,5.0,0.5484862294186669
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4cncs4)c23)c1,6.301029995663981,CHEMBL3651055,,361.43000000000006,4.263000000000002,2.0,5.0,0.5319741453605531
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4ncco4)c23)c1,5.825068406471558,CHEMBL3651062,,345.3620000000001,3.794500000000001,2.0,5.0,0.5484862294186669
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(-c4nnc(C)o4)c23)c1,5.825068406471558,CHEMBL3651064,,360.3770000000001,3.4979200000000006,2.0,6.0,0.5391154909719836
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OC)c23)c1,5.825068406471558,CHEMBL3651035,,336.3510000000001,2.926100000000001,2.0,5.0,0.5638413688205745
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.8274033455383005,CHEMBL3650985,,350.37800000000016,3.316200000000001,2.0,5.0,0.5433719623805506
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4=CCOCC4)c23)c1,5.825068406471558,CHEMBL3651053,,360.4170000000002,3.943200000000002,2.0,4.0,0.6907184773694206
C=C(C)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C4CCOCC4)c23)c1,5.825068406471558,CHEMBL3651063,,362.4330000000002,4.033500000000003,2.0,4.0,0.6867696985167748
C=C(C)C(=O)Nc1cncc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3650986,,351.36600000000016,2.7112000000000007,2.0,6.0,0.5401123688175163
C=C(C)C(=O)n1ccc2ccc(-c3ncnc4[nH]cc(C(=O)OCC)c34)cc21,5.825068406471558,CHEMBL3651002,,374.4000000000002,3.9726000000000026,1.0,6.0,0.4310953976444602
C=C(C)Cn1nc(C)c(-c2ncnc3[nH]ccc23)n1,7.17134010346468,CHEMBL4474787,,254.29700000000005,2.1009199999999995,1.0,5.0,0.7263830721453284
C=C(CC)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3650990,,364.4050000000002,3.7063000000000015,2.0,5.0,0.513301639126576
C=C(CF)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651040,,368.36800000000017,3.2658000000000014,2.0,5.0,0.5141022403384696
C=C(CN)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651038,,365.3930000000002,2.255,3.0,6.0,0.4547017536057423
C=C(CN1CCOCC1)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651029,,435.4840000000002,2.6285000000000007,2.0,7.0,0.433650391282808
C=C(CNC(C)=O)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651039,,407.4300000000002,2.4324000000000003,3.0,6.0,0.4078901978555111
C=C(CNS(C)(=O)=O)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651037,,443.4850000000002,1.845499999999999,3.0,7.0,0.3559701029190245
C=C(CO)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651041,,366.3770000000002,2.2886000000000006,3.0,6.0,0.4550849276237777
C=C(COC)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651030,,380.40400000000017,2.942700000000001,2.0,6.0,0.4821285859503743
C=C(Cl)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651018,,370.7960000000002,3.4926000000000013,2.0,5.0,0.528935140634942
C=C(F)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1F,5.825068406471558,CHEMBL3651021,,372.3310000000001,3.362400000000002,2.0,5.0,0.5287210877567613
C=C(F)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651015,,354.3410000000002,3.223300000000001,2.0,5.0,0.5415448160856233
C=C1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,7.568636235841013,CHEMBL3907503,,253.309,2.819400000000001,1.0,4.0,0.6783004860452491
C=CC(=O)N(C)c1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,CHEMBL3651036,,350.37800000000016,2.950400000000001,1.0,5.0,0.5644661687945174
C=CC(=O)N1CC=C(c2cccc3nc(NC(=O)C4CC4)nn23)CC1,6.372634143407267,CHEMBL4636334,,337.3830000000002,1.8795,1.0,5.0,0.8640825673753035
C=CC(=O)N1CCC(Cn2cc(-c3ccc4c(c3)OCO4)c3c(N)ncnc32)CC1,5.0,CHEMBL4755698,,405.45800000000025,2.833800000000001,1.0,7.0,0.6708634703512238
C=CC(=O)N1CCC(Cn2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)CC1,7.829738284605042,CHEMBL4457338,,424.5090000000002,1.461,2.0,9.0,0.5934832485634499
C=CC(=O)N1CCC(Cn2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,6.359518563029578,CHEMBL4437684,,380.4560000000002,1.542019999999999,1.0,8.0,0.6880790429841002
C=CC(=O)N1CCC(Cn2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)CC1,6.038816290187564,CHEMBL4526982,,394.4390000000002,1.0460999999999996,1.0,9.0,0.506275450349942
C=CC(=O)N1CCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)CC1,6.328549445787505,CHEMBL4240238,,366.4290000000002,1.2335999999999994,1.0,8.0,0.6960425220085487
C=CC(=O)N1CCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)CC1,6.303294219066083,CHEMBL4248256,,410.4820000000002,1.3429999999999995,1.0,9.0,0.5842278434392688
C=CC(=O)N1CCC(Cn2nc(Br)c3c(N)ncnc32)CC1,7.045275209020937,CHEMBL4577281,,365.2350000000002,1.5955999999999997,1.0,6.0,0.8348100296261857
C=CC(=O)N1CCC(N2NC(c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.142667503568731,CHEMBL5279689,,398.4710000000002,0.2206000000000006,3.0,9.0,0.6247883564502893
C=CC(=O)N1CCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.142667503568731,CHEMBL4557416,,396.45500000000015,0.9957999999999996,2.0,9.0,0.6295530929685677
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,7.343901797987168,CHEMBL4564903,,352.40200000000016,1.0768199999999992,1.0,8.0,0.7067393279389025
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,6.192397330083505,CHEMBL4436334,,366.4290000000002,1.4669199999999991,1.0,8.0,0.7033697959254238
C=CC(=O)N1CCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,8.013228265733755,CHEMBL4561431,,366.38500000000016,0.5808999999999994,1.0,9.0,0.5287281873142365
C=CC(=O)N1CCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.30189945437661,CHEMBL4249310,,338.3750000000001,0.7683999999999994,1.0,8.0,0.7067656039433688
C=CC(=O)N1CCC(n2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,6.29362364416031,CHEMBL4245422,,382.42800000000017,0.8777999999999994,1.0,9.0,0.6288938712068571
C=CC(=O)N1CCC(n2nc(Br)c3c(N)ncnc32)CC1,7.207608310501746,CHEMBL4584510,,351.20800000000014,1.5204999999999995,1.0,6.0,0.8289035909541191
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.092427421201449,CHEMBL4241272,,366.42900000000014,1.2335999999999996,1.0,8.0,0.6960425220085488
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,5.847528189663964,CHEMBL4249872,,410.48200000000026,1.3429999999999995,1.0,9.0,0.5842278434392688
C=CC(=O)N1CCCC(Cn2nc(Br)c3c(N)ncnc32)C1,7.140861702705469,CHEMBL4517080,,365.2350000000002,1.5956,1.0,6.0,0.8348100296261857
C=CC(=O)N1CCCC(N2NC(c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.187086643357144,CHEMBL5272587,,412.49800000000016,0.6107000000000004,3.0,9.0,0.6239655569586785
